currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
1309,Tarun Paparaju,/tarunpaparaju,expert,7125,2017-10-22,0,0,3
1310,takoihiroaki,/takoi55,expert,7119,2019-06-02,0,2,1
1311,Benjamin Minixhofer,/bminixhofer,expert,7112,2017-01-18,1,0,2
1312,micheal_kim,/michealkim,expert,7107,2015-12-28,0,4,0
1313,Tim Joseph,/timjoseph,master,7096,2016-12-16,2,1,2
1314,coolz,/cooolz,expert,7091,2018-01-18,0,2,2
1315,Krishna kant singh,/krishnakantsingh14,expert,7091,2018-06-06,0,2,0
1316,Shujian Liu,/shujian,master,7085,2016-02-05,1,5,9
1317,yukari17,/yukari17,master,7076,2015-04-28,2,4,0
1318,Kanna Hashimoto,/kannahashimoto,expert,7073,2019-10-30,0,2,0
1319,Ilham Firdausi Putra,/ilhamfp31,expert,7066,2017-11-06,0,2,4
1320,michaln,/michaln,expert,7065,2015-07-15,1,0,2
1321,。。。,/xiamaozi11,expert,7064,2018-10-15,1,1,0
1322,tkato,/katotetsuro,expert,7048,2017-02-17,1,1,0
1323,alex,/chandyalex,expert,7039,2018-08-02,0,1,1
1324,Amil Gentili,/agentili,expert,7038,2017-11-27,0,1,3
1325,Yu Kang,/karlyukang,expert,7034,2019-12-24,0,1,1
1326,ethan.cheng,/chengxiaoy,expert,7026,2017-12-26,0,2,1
1327,Dmitry Volkov,/dsvolkov,expert,7019,2015-10-30,0,7,4
1328,Akhat Rakishev,/bookerd,expert,7004,2019-09-12,0,2,0
1329,JohnJayChou,/johnjaychou,master,6980,2017-10-24,1,2,3
1330,hahaha,/vanche,expert,6977,2017-07-16,0,2,3
1331,Yan,/yangao2,expert,6965,2019-08-31,1,1,0
1332,Deepak Singh Rawat,/deepaksinghrawat,expert,6964,2014-12-25,0,1,7
1333,Akira Sasaki,/hikomimo,expert,6963,2014-03-01,0,5,2
1334,kevin,/hustkevin1037,master,6961,2018-06-27,1,4,0
1335,Tomonori Masui,/tnmasui,expert,6960,2015-09-25,0,3,2
1336,mANDy,/masandy,expert,6954,2014-03-23,0,2,5
1337,SSR,/shubhinderrana,expert,6935,2015-03-28,0,2,7
1338,Sergey Mushinskiy,/ceperaang,master,6933,2014-04-10,3,0,1
1339,Aksell,/aksell7,expert,6933,2018-05-12,0,3,0
1340,Sirius Chen,/bcsiriuschen,expert,6925,2018-01-18,1,0,1
1341,Amit Hasan Shuvo,/amithasanshuvo,expert,6915,2018-12-31,0,1,1
1342,aDg4b,/egrehbbt,expert,6900,2018-12-30,0,1,1
1343,voilin,/voilin,expert,6898,2016-02-26,0,4,2
1344,Subssss,/subssss,master,6888,2017-11-29,1,2,0
1345,Bilbo Baggins,/bilbobaggins123,expert,6878,2017-10-24,0,0,5
1346,Uday Kumar Gurugubelli,/udaygurugubelli,expert,6867,2014-02-11,0,0,3
1347,Bruno16,/bruno16,expert,6860,2014-05-29,0,0,6
1348,Makotu,/mhyodo,expert,6859,2015-08-08,0,4,3
1349,Alexander Soare,/alexandersoare,expert,6851,2019-12-27,0,2,0
1350,Jerome Vallet,/emorej,master,6849,2016-10-22,1,2,3
1351,Taemyung Heo,/tmheo74,master,6846,2017-03-03,1,2,0
1352,Cato,/catochris,expert,6846,2018-09-30,0,2,1
1353,Mr_KnowNothing,/tanulsingh077,expert,6839,2019-02-04,0,3,3
1354,wentixiaogege,/wentixiaogege,expert,6834,2018-06-06,0,3,1
1355,Manjesh Gupta,/manjeshg03,expert,6833,2019-02-12,0,2,0
1356,Marcin Pękalski,/mpekalski,master,6824,2011-04-04,1,3,7
1357,BokingChen,/chenbaoying,expert,6815,2019-09-14,0,1,1
1358,Tak,/takaishikawa,expert,6811,2017-04-10,0,2,4
1359,Kostiantyn Isaienkov,/isaienkov,expert,6808,2016-09-28,0,4,1
1360,sogi,/shinogi,expert,6808,2017-07-16,0,0,2
1361,Sanzhar Amirzhan,/amirsanzhar,expert,6805,2017-07-20,0,3,5
1362,Andrew Parr,/andrewparr,expert,6802,2018-11-30,0,3,0
1363,KrisztianSz,/szmnkrisz97,expert,6801,2017-12-16,0,2,0
1364,gooron,/gooron,master,6798,2013-09-11,1,5,9
1365,DN,/dmitrynovikov,expert,6795,2018-12-02,0,2,2
