title,totalComments,totalLines,totalViews,totalVotes,versionNumber,aceLanguageName,author.displayName,author.performanceTier,medal,categories,isNotebook,languageName,hasCollaborators,lastRunExecutionTimeSeconds,lastRunTime,scriptVersionDateCreated
Coronavirus (COVID-19) Visualization & Prediction,528,962,212039,1405,391,python,Xingyu Bian,2,gold,"[{'competitionCount': 7, 'datasetCount': 416, 'name': 'healthcare', 'description': 'AI in healthcare is a growing interest. One of the major problems is simply converting research into an application. Should be easy, right?', 'totalCount': 1061, 'scriptCount': 638, 'fullPath': 'topic > health and fitness > health > healthcare', 'listingUrl': None, 'tagUrl': '/tags/healthcare', 'id': 4202, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 2644, 'name': 'health', 'description': 'Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.', 'totalCount': 2837, 'scriptCount': 191, 'fullPath': 'topic > health and fitness > health', 'listingUrl': None, 'tagUrl': '/tags/health', 'id': 11111, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 8, 'datasetCount': 925, 'name': 'covid19', 'description': 'COVID-19 is a strain of coronavirus that first broke out in Wuhan, China in December 2019 and has since become a global pandemic', 'totalCount': 2256, 'scriptCount': 1323, 'fullPath': 'topic > health and fitness > health > health conditions > diseases > covid19', 'listingUrl': None, 'tagUrl': '/tags/covid19', 'id': 16575, 'isInherited': False}]",TRUE,Python,FALSE,6,2020-10-14,2020-10-14
MoA Public Pytorch NODE,4,1333,819,43,3,python,Yirun Zhang,3,silver,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,8991,2020-10-14,2020-10-14
"[Riiid] Reading train data with feather, Datatable",0,99,329,17,3,python,currypurin,3,bronze,[],TRUE,Python,FALSE,328,2020-10-14,2020-10-14
 Video Game Sales EDA,1,274,47,4,3,python,prakhar srivastava,0,,"[{'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 13, 'name': 'pandas', 'description': '', 'totalCount': 398, 'scriptCount': 385, 'fullPath': 'packages > pandas', 'listingUrl': None, 'tagUrl': '/tags/pandas', 'id': 16611, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 1, 'name': 'plotly', 'description': '', 'totalCount': 260, 'scriptCount': 259, 'fullPath': 'packages > plotly', 'listingUrl': None, 'tagUrl': '/tags/plotly', 'id': 16614, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 49, 'name': 'python', 'description': '', 'totalCount': 838, 'scriptCount': 789, 'fullPath': 'topic > science and technology > computer science > programming > python', 'listingUrl': None, 'tagUrl': '/tags/python', 'id': 16639, 'isInherited': False}]",TRUE,Python,FALSE,20,2020-10-14,2020-10-14
Campus Recruitment - [Logistic+KNN+SVM]🎓👥,0,267,28,4,3,python,Aayush Mishra,2,,"[{'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 186, 'name': 'data cleaning', 'description': None, 'totalCount': 4594, 'scriptCount': 4408, 'fullPath': 'analysis > data cleaning', 'listingUrl': None, 'tagUrl': '/tags/data-cleaning', 'id': 13202, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 66, 'name': 'logistic regression', 'description': None, 'totalCount': 1623, 'scriptCount': 1557, 'fullPath': 'technique > regression > logistic regression', 'listingUrl': None, 'tagUrl': '/tags/logistic-regression', 'id': 13404, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Indian Cuisine Analysis,38,379,1963,44,14,python,Neha Prabhavalkar,2,silver,"[{'competitionCount': 0, 'datasetCount': 325, 'name': 'india', 'description': ""This tag will take you to the wonderful land of datasets and kernels related to India. You will find topics that range far and wide. There's education, travel, weather, and crime, too."", 'totalCount': 594, 'scriptCount': 269, 'fullPath': 'geography and places > asia > india', 'listingUrl': None, 'tagUrl': '/tags/india', 'id': 3023, 'isInherited': False}, {'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 212, 'name': 'cooking and recipes', 'description': None, 'totalCount': 218, 'scriptCount': 6, 'fullPath': 'topic > health and fitness > food > cooking and recipes', 'listingUrl': None, 'tagUrl': '/tags/cooking-and-recipes', 'id': 16109, 'isInherited': False}]",TRUE,Python,FALSE,3,2020-10-14,2020-10-14
GFootball PPO-Agent,14,943,1918,29,21,python,Jude TCHAYE,1,silver,"[{'competitionCount': 0, 'datasetCount': 1298, 'name': 'games', 'description': ""One of the hallmarks of intelligence is the use of games and toys to occupy free time and develop intellectually. Often stored in Mom's basement."", 'totalCount': 1349, 'scriptCount': 51, 'fullPath': 'topic > culture and humanities > games', 'listingUrl': None, 'tagUrl': '/tags/games-and-toys', 'id': 2500, 'isInherited': False}, {'competitionCount': 1, 'datasetCount': 18, 'name': 'reinforcement learning', 'description': None, 'totalCount': 121, 'scriptCount': 102, 'fullPath': 'technique > reinforcement learning', 'listingUrl': None, 'tagUrl': '/tags/reinforcement-learning', 'id': 13313, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 9, 'name': 'keras', 'description': '', 'totalCount': 438, 'scriptCount': 429, 'fullPath': 'packages > keras', 'listingUrl': None, 'tagUrl': '/tags/keras', 'id': 16602, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 3, 'name': 'transformers', 'description': '', 'totalCount': 68, 'scriptCount': 65, 'fullPath': 'packages > transformers', 'listingUrl': None, 'tagUrl': '/tags/transformers', 'id': 16634, 'isInherited': False}]",TRUE,Python,FALSE,5176,2020-10-14,2020-10-14
Unlocking - Climate's Solutions EDA,0,194,126,3,3,markdown,Solve for Fun,2,,[],FALSE,R,FALSE,70,2020-10-14,2020-10-14
Riiid: FE + Target encoding + Keras,1,360,316,5,12,python,Pavel Prokhorov,2,bronze,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 9, 'name': 'keras', 'description': '', 'totalCount': 438, 'scriptCount': 429, 'fullPath': 'packages > keras', 'listingUrl': None, 'tagUrl': '/tags/keras', 'id': 16602, 'isInherited': False}]",TRUE,Python,FALSE,775,2020-10-14,2020-10-14
MONAI 3D CNN - Training,7,320,1071,75,1,python,Bo,4,gold,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,3115,2020-10-13,2020-10-13
