title,totalComments,totalLines,totalViews,totalVotes,versionNumber,aceLanguageName,author.displayName,author.performanceTier,medal,categories,isNotebook,languageName,hasCollaborators,lastRunExecutionTimeSeconds,lastRunTime,scriptVersionDateCreated
How Models Work,2,47,1262864,4798,43,python,DanB,4,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,11,2020-10-01,2020-10-01
Decision-Trees-Bank-marketing-dataset,0,444,55,1,8,python,KyrylVeremiov,0,,[],TRUE,Python,FALSE,782,2020-10-14,2020-10-14
Word 2 Vector using SpaCy assignment,0,20,5,0,2,python,farsana s,2,,"[{'competitionCount': 5, 'datasetCount': 824, 'name': 'nlp', 'description': None, 'totalCount': 3181, 'scriptCount': 2352, 'fullPath': 'analysis > nlp', 'listingUrl': None, 'tagUrl': '/tags/nlp', 'id': 13204, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 23, 'name': 'spaCy', 'description': 'spaCy is an open-source software library for advanced Natural Language Processing, written in the programming languages Python and Cython.', 'totalCount': 171, 'scriptCount': 148, 'fullPath': 'packages > spaCy', 'listingUrl': None, 'tagUrl': '/tags/spacy', 'id': 16008, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Hello World for Deep Learning - SIIM,2,391,2274,59,17,python,Walter Wiggins,1,bronze,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 666, 'name': 'deep learning', 'description': None, 'totalCount': 10087, 'scriptCount': 9421, 'fullPath': 'technique > deep learning', 'listingUrl': None, 'tagUrl': '/tags/deep-learning', 'id': 13310, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,95,2020-10-13,2020-10-13
Files Exploration - RSNA STR PE,0,99,74,0,2,python,Aniket Biprojit Chowdhury,0,,[],TRUE,Python,TRUE,4,2020-10-14,2020-10-14
Covid-19 stats and predictions worldwide ,5,1126,1522,16,151,python,David V,1,bronze,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'lstm', 'description': None, 'totalCount': 655, 'scriptCount': 618, 'fullPath': 'technique > neural networks > lstm', 'listingUrl': None, 'tagUrl': '/tags/lstm', 'id': 13410, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 30, 'name': 'rnn', 'description': None, 'totalCount': 292, 'scriptCount': 262, 'fullPath': 'technique > neural networks > rnn', 'listingUrl': None, 'tagUrl': '/tags/rnn', 'id': 13416, 'isInherited': False}, {'competitionCount': 8, 'datasetCount': 925, 'name': 'covid19', 'description': 'COVID-19 is a strain of coronavirus that first broke out in Wuhan, China in December 2019 and has since become a global pandemic', 'totalCount': 2256, 'scriptCount': 1323, 'fullPath': 'topic > health and fitness > health > health conditions > diseases > covid19', 'listingUrl': None, 'tagUrl': '/tags/covid19', 'id': 16575, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-13,2020-10-13
MoA or not MoA,5,2772,908,19,29,python,Daniel Dewey,2,bronze,"[{'competitionCount': 106, 'datasetCount': 334, 'name': 'tabular data', 'description': None, 'totalCount': 776, 'scriptCount': 336, 'fullPath': 'data type > tabular data', 'listingUrl': None, 'tagUrl': '/tags/tabular-data', 'id': 14101, 'isInherited': False}, {'competitionCount': 31, 'datasetCount': 182, 'name': 'binary classification', 'description': None, 'totalCount': 1144, 'scriptCount': 931, 'fullPath': 'technique > classification > binary classification', 'listingUrl': None, 'tagUrl': '/tags/binary-classification', 'id': 14201, 'isInherited': False}]",TRUE,Python,FALSE,1319,2020-10-14,2020-10-14
Bike Rental Prediction,0,220,45,1,7,python,Mayur Gupta47,1,,[],TRUE,Python,FALSE,34,2020-10-14,2020-10-14
A Data Science Framework: To Achieve 99% Accuracy,537,1,306101,4048,73,python,LD Freeman,1,gold,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}]",TRUE,Python,FALSE,934,2017-12-31,2017-12-31
MoA | Keras Multilabel Classifier NN | Starter ,21,199,2818,56,10,python,Kassem,2,silver,"[{'competitionCount': 0, 'datasetCount': 125, 'name': 'neural networks', 'description': None, 'totalCount': 1841, 'scriptCount': 1716, 'fullPath': 'technique > neural networks', 'listingUrl': None, 'tagUrl': '/tags/neural-networks', 'id': 13407, 'isInherited': False}, {'competitionCount': 106, 'datasetCount': 334, 'name': 'tabular data', 'description': None, 'totalCount': 776, 'scriptCount': 336, 'fullPath': 'data type > tabular data', 'listingUrl': None, 'tagUrl': '/tags/tabular-data', 'id': 14101, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 9, 'name': 'keras', 'description': '', 'totalCount': 438, 'scriptCount': 429, 'fullPath': 'packages > keras', 'listingUrl': None, 'tagUrl': '/tags/keras', 'id': 16602, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 10, 'name': 'multilabel classification', 'description': '', 'totalCount': 102, 'scriptCount': 92, 'fullPath': 'technique > classification > multilabel classification', 'listingUrl': None, 'tagUrl': '/tags/multilabel-classification', 'id': 16636, 'isInherited': False}]",TRUE,Python,FALSE,1824,2020-10-13,2020-10-13
MoA Stratified Multi Label K Fold Notebook,0,448,119,1,37,python,James Tourkistas,1,,[],TRUE,Python,FALSE,3,2020-10-14,2020-10-14
begineer,0,176,8,0,1,python,Kartik Kandwal,0,,[],TRUE,Python,FALSE,25,2020-10-14,2020-10-14
Exploratory Data Analysis,0,141,3,0,1,python,Sooter Saalu,0,,"[{'competitionCount': 0, 'datasetCount': 66, 'name': 'websites', 'description': 'Websites, like this one, are collections of content that can be found under a specific address. These datasets include information on individual websites or collections of websites.', 'totalCount': 117, 'scriptCount': 51, 'fullPath': 'topic > science and technology > internet > websites', 'listingUrl': None, 'tagUrl': '/tags/web-sites', 'id': 1115, 'isInherited': False}, {'competitionCount': 1, 'datasetCount': 668, 'name': 'literature', 'description': 'This tag is your digital library for varius copora such as Southern Literature, Paranormal Romance novels, and Urban Dictionary spelling variations.', 'totalCount': 687, 'scriptCount': 18, 'fullPath': 'topic > arts and entertainment > literature', 'listingUrl': None, 'tagUrl': '/tags/literature', 'id': 2206, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 137, 'name': 'data analytics', 'description': None, 'totalCount': 641, 'scriptCount': 504, 'fullPath': 'technique > data analytics', 'listingUrl': None, 'tagUrl': '/tags/marketing-analytics', 'id': 13215, 'isInherited': False}]",TRUE,Python,FALSE,21,2020-10-14,2020-10-14
K-Folds Cross Validation Cats vs Dogs,0,227,62,3,20,python,Yaser Marey,1,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,565,2020-10-14,2020-10-14
MONAI 3D CNN - Inference,6,280,1162,77,1,python,Bo,4,gold,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,916,2020-10-12,2020-10-12
ML_A2_ID3_US_elections,0,421,24,1,3,python,UTS_31250_13156094,0,,[],TRUE,Python,FALSE,3,2020-10-14,2020-10-14
Exploring Survival on the Titanic,995,392,549707,3441,8,markdown,Meg Risdal,5,gold,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 33, 'name': 'random forest', 'description': None, 'totalCount': 1976, 'scriptCount': 1943, 'fullPath': 'technique > random forest', 'listingUrl': None, 'tagUrl': '/tags/random-forest', 'id': 13402, 'isInherited': False}]",FALSE,R,FALSE,53,2017-12-26,2017-12-26
CorrectNotebook,0,253,7,0,2,python,taifanjum,0,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,1504,2020-10-14,2020-10-14
Sampath Adult dataset,0,256,6,0,2,python,agiru sampath,0,,[],TRUE,Python,FALSE,4,2020-10-14,2020-10-14
XGB + LR GPU Cats vs. Dogs with EB7 NS,0,272,286,3,25,python,Bojan Tunguz,4,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,81,2020-10-13,2020-10-13
Shilovskih lab1,0,83,31,1,4,python,turbcool,0,,[],TRUE,Python,FALSE,42,2020-10-14,2020-10-14
Heart_Attack_Prediction_LogesticRegression_90% ROC,0,392,24,0,1,python,enlightenment E,0,,"[{'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 96, 'name': 'statistical analysis', 'description': None, 'totalCount': 666, 'scriptCount': 570, 'fullPath': 'analysis > statistical analysis', 'listingUrl': None, 'tagUrl': '/tags/statistical-analysis', 'id': 13210, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 66, 'name': 'logistic regression', 'description': None, 'totalCount': 1623, 'scriptCount': 1557, 'fullPath': 'technique > regression > logistic regression', 'listingUrl': None, 'tagUrl': '/tags/logistic-regression', 'id': 13404, 'isInherited': False}]",TRUE,Python,FALSE,4,2020-10-14,2020-10-14
eugenio_ejercicio,0,219,17,0,8,python,Eugenio Moreda García,0,,[],TRUE,Python,FALSE,47,2020-10-14,2020-10-14
petals classification ,0,256,49,0,11,python,SAMEEP SHRESTHA,1,,"[{'competitionCount': 2, 'datasetCount': 19, 'name': 'tpu', 'description': 'This is for content that uses or relates to TPUs', 'totalCount': 77813, 'scriptCount': 77792, 'fullPath': 'admin > accelerators > tpu', 'listingUrl': None, 'tagUrl': '/tags/tpu', 'id': 16574, 'isInherited': False}]",TRUE,Python,TRUE,4,2020-10-14,2020-10-14
Approche Bayésienne,0,379,45,0,9,python,Alex,0,,"[{'competitionCount': 2, 'datasetCount': 19, 'name': 'tpu', 'description': 'This is for content that uses or relates to TPUs', 'totalCount': 77813, 'scriptCount': 77792, 'fullPath': 'admin > accelerators > tpu', 'listingUrl': None, 'tagUrl': '/tags/tpu', 'id': 16574, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,47,2020-10-14,2020-10-14
Estadística HFI,0,133,14,0,5,python,Alberto Sánchez,0,,[],TRUE,Python,FALSE,20,2020-10-14,2020-10-14
Estadística1,0,154,5,0,4,python,David Sagrario Sánchez,0,,[],TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Start Here: A Gentle Introduction,507,1094,292840,2840,14,python,Will Koehrsen,3,gold,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}]",TRUE,Python,FALSE,1208,2018-08-25,2018-08-25
Stank_TH_num,0,405,34,0,2,python,DarkST,0,,[],TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Titanic Tutorial,714,231,263000,2671,15,python,Alexis Cook,5,gold,[],TRUE,Python,FALSE,19,2020-04-01,2020-04-01
Credit Fraud  || Dealing with Imbalanced Datasets,472,1315,250436,2634,69,python,Janio Martinez,3,gold,"[{'competitionCount': 4, 'datasetCount': 1641, 'name': 'finance', 'description': ""The finance tag covers datasets and kernels about money and investing. If you need to test some new cryptocurrency investment strategies or ward off those pesky credit card fraud enthusiasts, then you've come to the right place."", 'totalCount': 2177, 'scriptCount': 532, 'fullPath': 'topic > people and society > business > finance', 'listingUrl': None, 'tagUrl': '/tags/finance', 'id': 11108, 'isInherited': False}, {'competitionCount': 8, 'datasetCount': 644, 'name': 'banking', 'description': 'Banks keep the financial system interesting by failing en masse every couple of generations.', 'totalCount': 823, 'scriptCount': 171, 'fullPath': 'topic > people and society > business > finance > banking', 'listingUrl': None, 'tagUrl': '/tags/banking', 'id': 11129, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 6, 'name': 'dimensionality reduction', 'description': None, 'totalCount': 185, 'scriptCount': 179, 'fullPath': 'technique > dimensionality reduction', 'listingUrl': None, 'tagUrl': '/tags/dimensionality-reduction', 'id': 13309, 'isInherited': False}]",TRUE,Python,FALSE,862,2019-07-03,2019-07-03
Estadística1_ejercicios.V2,0,186,5,0,5,python,Pilar Lorente Conesa,0,,[],TRUE,Python,FALSE,20,2020-10-14,2020-10-14
Titanic: 81.1% Leader board Score Guaranteed ,44,1325,1746,71,9,python,kushal Agrawal,1,silver,"[{'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 36, 'name': 'model comparison', 'description': None, 'totalCount': 788, 'scriptCount': 752, 'fullPath': 'technique > model comparison', 'listingUrl': None, 'tagUrl': '/tags/model-comparison', 'id': 13315, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 33, 'name': 'random forest', 'description': None, 'totalCount': 1976, 'scriptCount': 1943, 'fullPath': 'technique > random forest', 'listingUrl': None, 'tagUrl': '/tags/random-forest', 'id': 13402, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,241,2020-10-13,2020-10-13
Your First Machine Learning Model,386,100,782789,2597,49,python,DanB,4,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,12,2020-10-01,2020-10-01
BMW used car,0,270,23,0,9,python,Niti Ruengcharoen,0,,[],TRUE,Python,FALSE,31,2020-10-14,2020-10-14
economic-solar-energy-system,0,56,3,0,1,python,Majd Machlouch ,0,,[],TRUE,Python,FALSE,16,2020-10-14,2020-10-14
Juanjh_w_sk_ku,0,284,2,0,3,python,Juanjo Hernandez,0,,[],TRUE,Python,FALSE,4,2020-10-14,2020-10-14
Google Play Store Analysis,0,289,136,1,13,python,cheung ho ming,0,,[],TRUE,Python,FALSE,118,2020-10-14,2020-10-14
Functions and Getting Help,145,184,555661,2480,21,python,ColinMorris,3,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,11,2020-10-01,2020-10-01
Cesar_neoland,0,90,6,0,2,python,cesarhm33,0,,[],TRUE,Python,FALSE,22,2020-10-14,2020-10-14
FirsProject_CarlaMontserrat,0,267,26,1,5,python,Carla Montserrat,0,,[],TRUE,Python,FALSE,21,2020-10-14,2020-10-14
Ejercicio Estadistica 1 + Estadistica 2,0,151,7,0,1,python,Sergio Mañanas,0,,[],TRUE,Python,FALSE,20,2020-10-14,2020-10-14
Model Validation,5,109,511771,2340,45,python,DanB,4,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,12,2020-10-01,2020-10-01
TP1 M2 Fouille de Données (Etudiant 2020),0,103,26,2,3,python,yjdisima,0,,"[{'competitionCount': 3, 'datasetCount': 4002, 'name': 'education', 'description': 'Education datasets and kernels relate to statistics on student performance, university rankings, and answers for all your homework questions.', 'totalCount': 4211, 'scriptCount': 206, 'fullPath': 'topic > people and society > education', 'listingUrl': None, 'tagUrl': '/tags/education', 'id': 11105, 'isInherited': False}]",TRUE,Python,FALSE,12,2020-10-13,2020-10-13
2 heads+deep nets+residuals+pipeline+smoothing,6,187,740,12,8,r,Demetry Pascal,2,bronze,[],TRUE,R,FALSE,6595,2020-10-14,2020-10-14
Ridge-regression,0,47,12,0,1,python,Matteo Munari,0,,[],TRUE,Python,FALSE,13,2020-10-14,2020-10-14
Multi Labels Self Attention Pytorch Transformer,0,425,58,0,6,python,fourteen,0,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,4582,2020-10-14,2020-10-14
Implementation of UNet on Brain MRI,0,996,56,2,2,python,Ravi Ranjan,2,,"[{'competitionCount': 1, 'datasetCount': 312, 'name': 'beginner', 'description': None, 'totalCount': 22580, 'scriptCount': 22267, 'fullPath': 'audience > beginner', 'listingUrl': None, 'tagUrl': '/tags/beginner', 'id': 13102, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 320, 'name': 'exploratory data analysis', 'description': None, 'totalCount': 11127, 'scriptCount': 10807, 'fullPath': 'technique > exploratory data analysis', 'listingUrl': None, 'tagUrl': '/tags/eda', 'id': 13201, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 501, 'name': 'data visualization', 'description': None, 'totalCount': 15641, 'scriptCount': 15140, 'fullPath': 'technique > data visualization', 'listingUrl': None, 'tagUrl': '/tags/data-visualization', 'id': 13208, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 666, 'name': 'deep learning', 'description': None, 'totalCount': 10087, 'scriptCount': 9421, 'fullPath': 'technique > deep learning', 'listingUrl': None, 'tagUrl': '/tags/deep-learning', 'id': 13310, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,807,2020-10-14,2020-10-14
Underfitting and Overfitting,7,91,386357,2170,43,python,DanB,4,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,16,2020-10-01,2020-10-01
Full Preprocessing Tutorial,463,319,255241,2146,19,python,Guido Zuidhof,3,gold,[],TRUE,Python,FALSE,998,2017-02-24,2017-02-24
lecture_7,0,260,15,1,1,python,Intelligentracing,0,,[],TRUE,Python,FALSE,25,2020-10-14,2020-10-14
Titanic Top 4% with ensemble modeling,322,1,133799,2115,7,python,Yassine Ghouzam,2,gold,"[{'competitionCount': 2, 'datasetCount': 825, 'name': 'classification', 'description': None, 'totalCount': 8695, 'scriptCount': 7868, 'fullPath': 'technique > classification', 'listingUrl': None, 'tagUrl': '/tags/classification', 'id': 13302, 'isInherited': False}, {'competitionCount': 0, 'datasetCount': 106, 'name': 'feature engineering', 'description': None, 'totalCount': 4772, 'scriptCount': 4666, 'fullPath': 'technique > feature engineering', 'listingUrl': None, 'tagUrl': '/tags/feature-engineering', 'id': 13306, 'isInherited': False}]",TRUE,Python,FALSE,579,2017-08-09,2017-08-09
Booleans and Conditionals,75,167,350442,2097,4,python,ColinMorris,3,gold,"[{'competitionCount': 0, 'datasetCount': 13, 'name': 'learn', 'description': 'Kaggle Learn content', 'totalCount': 363, 'scriptCount': 350, 'fullPath': 'admin > learn course', 'listingUrl': None, 'tagUrl': '/tags/learn', 'id': 16002, 'isInherited': False}]",TRUE,Python,TRUE,16,2020-10-01,2020-10-01
Riiid - LGBM Simple Baseline,0,175,81,1,3,python,Yuto Hisamatsu,1,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,22,2020-10-14,2020-10-14
Exploratory Data Analysis,0,128,9,0,1,python,MANOJKUMAR VK ,1,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,TRUE,43,2020-10-14,2020-10-14
estadistica1,0,119,38,0,5,python,Daniel Wilhelm Tummler Rosales,0,,[],TRUE,Python,FALSE,42,2020-10-14,2020-10-14
PostechAI-StudyA2,0,87,37,0,2,python,Aiden Choi,1,,"[{'competitionCount': 0, 'datasetCount': 37, 'name': 'gpu', 'description': 'This is for content that uses or relates to GPUs', 'totalCount': 1750239, 'scriptCount': 1750202, 'fullPath': 'admin > accelerators > gpu', 'listingUrl': None, 'tagUrl': '/tags/gpu', 'id': 16580, 'isInherited': False}]",TRUE,Python,FALSE,697,2020-10-14,2020-10-14
