currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
88,Rajanand Ilangovan,/rajanand,expert,65,2015-09-01,0,4,7
89,Zeeshan-ul-hassan Usmani,/zusmani,master,65,2016-04-19,1,6,5
90,Cam Nugent,/camnugent,expert,65,2016-09-10,1,1,3
91,Austin Reese,/austinreese,expert,64,2017-10-04,1,1,1
92,Chris Gorgolewski,/chrisfilo,expert,64,2018-07-26,0,1,6
93,corochann,/corochann,expert,62,2016-02-01,1,0,2
94,Ashish Gupta,/roydatascience,expert,62,2018-05-16,0,1,2
95,Umair Nasir14,/umairnasir14,expert,62,2020-07-26,0,1,3
96,David Beniaguev,/selfishgene,expert,61,2013-09-27,2,0,2
97,ShiroK,/ludovick,expert,61,2017-10-02,0,1,3
98,Eswar Chand,/eswarchandt,expert,60,2019-07-27,0,1,3
99,Heeral Dedhia,/heeraldedhia,expert,60,2020-06-19,0,1,3
100,beluga,/gaborfodor,expert,59,2011-10-05,1,0,2
101,Vishnu Varthan Rao,/vishnuvarthanrao,expert,59,2020-04-24,0,1,2
102,V.Prasanna Kumar,/vpkprasanna,expert,57,2017-11-20,0,0,7
103,Edward Zhang,/sshikamaru,expert,57,2018-11-17,0,0,8
104,Navin Mundhra,/navinmundhra,expert,55,2019-03-30,1,0,2
105,kkiller,/kneroma,expert,54,2017-12-15,0,1,4
106,NQ,/david1013,expert,53,2017-09-28,0,0,3
107,Wei Hao Khoong,/khoongweihao,expert,53,2018-03-20,0,0,6
108,Narendra,/narendrageek,expert,53,2018-04-13,0,1,3
109,soham mukherjee,/soham1024,expert,53,2019-01-15,0,0,7
110,Gokagglers ,/loveall,expert,52,2013-09-23,1,1,2
111,Neuron Engineer,/ratthachat,expert,52,2017-10-27,0,1,2
112,Minyong Shin,/gyejr95,expert,52,2018-04-12,0,0,8
113,NoLogic,/veeralakrishna,expert,52,2019-02-09,0,0,7
114,Neelima Jauhari,/nilimajauhari,expert,52,2019-03-02,0,0,4
115,Akshat Dubey,/akshat0007,expert,52,2019-03-24,0,1,2
116,Caesar Lupum,/caesarlupum,expert,52,2019-08-18,0,0,5
117,Rob Mulla,/robikscube,expert,50,2016-06-18,1,0,2
118,Rohk,/therohk,expert,50,2017-07-02,1,1,4
119,Carl McBride Ellis,/carlmcbrideellis,expert,49,2019-11-17,0,0,5
120,See--,/seesee,expert,48,2016-09-11,1,0,2
121,Marsh,/vbookshelf,expert,48,2017-05-22,0,2,2
122,Hieu Phung,/phunghieu,expert,48,2018-04-24,0,0,4
123,anokas,/anokas,expert,47,2016-01-16,1,1,2
124,Ishan Dutta,/ishandutta,expert,47,2020-03-07,0,0,5
125,Clayton,/claytonmiller,expert,46,2011-11-17,0,0,5
126,Saman Siadati,/samansiadati,expert,46,2018-01-11,0,2,1
127,DataTurks,/dataturks,expert,46,2018-04-24,0,3,1
128,M.Innat,/ipythonx,expert,46,2018-06-11,0,0,4
129,Mobassir,/mobassir,expert,46,2018-07-01,0,0,4
130,Naresh bhat,/nareshbhat,expert,46,2019-12-27,0,1,2
131,Paras Varshney,/blurredmachine,expert,46,2020-05-30,0,1,2
132,akensert,/akensert,expert,45,2018-08-26,0,2,2
133,ragnar,/ragnar123,expert,43,2017-08-24,0,1,3
